# Curated "well-known players" list — source of truth for the Curated gamemode.
# One basketball_reference_id per line; text after # is a comment (ignored by sync).
# Edit freely (add/remove lines); run `python -m backend.scripts.sync_curated` to apply.

# === Modern All-Stars / All-NBA (1990+) — 200 ===
jamesle01   # LeBron James
bryanko01   # Kobe Bryant
duranke01   # Kevin Durant
duncati01   # Tim Duncan
onealsh01   # Shaquille O'Neal
garneke01   # Kevin Garnett
nowitdi01   # Dirk Nowitzki
wadedw01    # Dwyane Wade
paulch01    # Chris Paul
curryst01   # Stephen Curry
hardeja01   # James Harden
iversal01   # Allen Iverson
boshch01    # Chris Bosh
antetgi01   # Giannis Antetokounmpo
kiddja01    # Jason Kidd
anthoca01   # Carmelo Anthony
davisan02   # Anthony Davis
piercpa01   # Paul Pierce
allenra02   # Ray Allen
paytoga01   # Gary Payton
westbru01   # Russell Westbrook
lillada01   # Damian Lillard
georgpa01   # Paul George
irvinky01   # Kyrie Irving
howardw01   # Dwight Howard
jokicni01   # Nikola Jokić
nashst01    # Steve Nash
mingya01    # Yao Ming
mutomdi01   # Dikembe Mutombo
cartevi01   # Vince Carter
mcgratr01   # Tracy McGrady
leonaka01   # Kawhi Leonard
aldrila01   # LaMarcus Aldridge
hillgr01    # Grant Hill
embiijo01   # Joel Embiid
mitchdo01   # Donovan Mitchell
mournal01   # Alonzo Mourning
johnsjo02   # Joe Johnson
doncilu01   # Luka Dončić
butleji01   # Jimmy Butler
stoudam01   # Amar'e Stoudemire
griffbl01   # Blake Griffin
tatumja01   # Jayson Tatum
gasolpa01   # Pau Gasol
parketo01   # Tony Parker
derozde01   # DeMar DeRozan
onealje01   # Jermaine O'Neal
kempsh01    # Shawn Kemp
townska01   # Karl-Anthony Towns
lowryky01   # Kyle Lowry
hardati01   # Tim Hardaway
webbech01   # Chris Webber
billuch01   # Chauncey Billups
loveke01    # Kevin Love
thompkl01   # Klay Thompson
bookede01   # Devin Booker
brownja02   # Jaylen Brown
horfoal01   # Al Horford
walljo01    # John Wall
wallabe01   # Ben Wallace
gilgesh01   # Shai Gilgeous-Alexander
hardaan01   # Anfernee Hardaway
mariosh01   # Shawn Marion
greendr01   # Draymond Green
bakervi01   # Vin Baker
couside01   # DeMarcus Cousins
siakapa01   # Pascal Siakam
edwaran01   # Anthony Edwards
rondora01   # Rajon Rondo
sprewla01   # Latrell Sprewell
walkeke02   # Kemba Walker
youngtr01   # Trae Young
wallara01   # Rasheed Wallace
millspa01   # Paul Millsap
goberru01   # Rudy Gobert
arenagi01   # Gilbert Arenas
brunsja01   # Jalen Brunson
ricegl01    # Glen Rice
willide01   # Deron Williams
gasolma01   # Marc Gasol
randlju01   # Julius Randle
sabondo01   # Domantas Sabonis
roybr01     # Brandon Roy
jonesed02   # Eddie Jones
stojape01   # Peja Stojaković
bealbr01    # Bradley Beal
rosede01    # Derrick Rose
simmobe01   # Ben Simmons
walkean02   # Antoine Walker
middlkh01   # Khris Middleton
hamilri01   # Richard Hamilton
francst01   # Steve Francis
adebaba01   # Bam Adebayo
ginobma01   # Manu Ginóbili
marbust01   # Stephon Marbury
halibty01   # Tyrese Haliburton
cunnica01   # Cade Cunningham
randoza01   # Zach Randolph
drumman01   # Andre Drummond
brandel01   # Elton Brand
davisba01   # Baron Davis
leeda02     # David Lee
boozeca01   # Carlos Boozer
johnsla02   # Larry Johnson
thomais02   # Isaiah Thomas
noahjo01    # Joakim Noah
foxde01     # De'Aaron Fox
oladivi01   # Victor Oladipo
maxeyty01   # Tyrese Maxey
moranja01   # Ja Morant
wembavi01   # Victor Wembanyama
finlemi01   # Michael Finley
vucevni01   # Nikola Vučević
jamisan01   # Antawn Jamison
lewisra02   # Rashard Lewis
holidjr01   # Jrue Holiday
stackje01   # Jerry Stackhouse
westda01    # David West
millebr01   # Brad Miller
butleca01   # Caron Butler
denglu01    # Luol Deng
ilgauzy01   # Zydrunas Ilgauskas
houstal01   # Allan Houston
lavinza01   # Zach LaVine
brandte01   # Terrell Brandon
elliose01   # Sean Elliott
hibbero01   # Roy Hibbert
robingl01   # Glenn Robinson
ingrabr01   # Brandon Ingram
jacksja02   # Jaren Jackson Jr.
garlada01   # Darius Garland
sengual01   # Alperen Şengün
barnesc01   # Scottie Barnes
willizi01   # Zion Williamson
jordade01   # DeAndre Jordan
colemde01   # Derrick Coleman
howarju01   # Juwan Howard
chandty01   # Tyson Chandler
dragigo01   # Goran Dragić
cassesa01   # Sam Cassell
mcdyean01   # Antonio McDyess
mashbja01   # Jamal Mashburn
reddmi01    # Michael Redd
murraja01   # Jamal Murray
bynuman01   # Andrew Bynum
mobleev01   # Evan Mobley
durenja01   # Jalen Duren
johnsja05   # Jalen Johnson
willija06   # Jalen Williams
holmgch01   # Chet Holmgren
robincl02   # Clifford Robinson
korveky01   # Kyle Korver
conlemi01   # Mike Conley
iguodan01   # Andre Iguodala
harride01   # Devin Harris
lopezbr01   # Brook Lopez
davisda01   # Dale Davis
divacvl01   # Vlade Divac
anderke01   # Kenny Anderson
smithst01   # Steve Smith
ratlith01   # Theo Ratliff
davisan01   # Antonio Davis
laettch01   # Christian Laettner
nelsoja01   # Jameer Nelson
wallage01   # Gerald Wallace
vanexni01   # Nick Van Exel
gatlich01   # Chris Gatling
wiggian01   # Andrew Wiggins
willima01   # Mo Williams
guglito01   # Tom Gugliotta
teaguje01   # Jeff Teague
abdursh01   # Shareef Abdur-Rahim
hillty01    # Tyrone Hill
blaylmo01   # Mookie Blaylock
haywago01   # Gordon Hayward
barroda01   # Dana Barros
armstbj01   # B.J. Armstrong
russeda01   # D'Angelo Russell
szczewa02   # Wally Szczerbiak
kirilan01   # Andrei Kirilenko
powelno01   # Norman Powell
martike01   # Kenyon Martin
cebalce01   # Cedric Ceballos
kamanch01   # Chris Kaman
magloja01   # Jamaal Magloire
allenja01   # Jarrett Allen
okurme01    # Mehmet Okur
grangda01   # Danny Granger
porzikr01   # Kristaps Porziņģis
vanvlfr01   # Fred VanVleet
howarjo01   # Josh Howard
murrade01   # Dejounte Murray
markkla01   # Lauri Markkanen
willija01   # Jayson Williams
avdijde01   # Deni Avdija
herroty01   # Tyler Herro
ballla01    # LaMelo Ball
banchpa01   # Paolo Banchero
jeffeal01   # Al Jefferson
bogutan01   # Andrew Bogut

# === Modern role players (well-known, no All-Star) — 175 ===
millean02   # Andre Miller
greenje02   # Jeff Green
terryja01   # Jason Terry
crawfja01   # Jamal Crawford
youngth01   # Thaddeus Young
arizatr01   # Trevor Ariza
harrito02   # Tobias Harris
willilo02   # Lou Williams
gayru01     # Rudy Gay
batumni01   # Nicolas Batum
jefferi01   # Richard Jefferson
diawbo01    # Boris Diaw
schrode01   # Dennis Schröder
princta01   # Tayshaun Prince
barneha02   # Harrison Barnes
harrial01   # Al Harrington
valanjo01   # Jonas Valančiūnas
bibbymi01   # Mike Bibby
smithis01   # Ish Smith
dunlemi02   # Mike Dunleavy
hillge01    # George Hill
gibsota01   # Taj Gibson
pachuza01   # Zaza Pachulia
millemi01   # Mike Miller
turkohe01   # Hedo Türkoğlu
hieldbu01   # Buddy Hield
redicjj01   # JJ Redick
jacksst02   # Stephen Jackson
jacksre01   # Reggie Jackson
plumlma01   # Mason Plumlee
barnema02   # Matt Barnes
battish01   # Shane Battier
matthwe02   # Wesley Matthews
ibakase01   # Serge Ibaka
tuckepj01   # P.J. Tucker
smithjr01   # J.R. Smith
feltora01   # Raymond Felton
crowdja01   # Jae Crowder
mcgeeja01   # JaVale McGee
olynyke01   # Kelly Olynyk
smithjo03   # Josh Smith
morrima02   # Markieff Morris
morrima03   # Marcus Morris
fryech01    # Channing Frye
caldejo01   # José Calderón
